 No. Model         -LnL         df  AIC          AICc         BIC
896  MTINV+I+R4    36014.736    128 72285.472    72308.679    72969.926
909  MTINV+F+R4    34384.152    146 69060.304    69090.855    69841.009
918  MTINV+F+I+R4  34380.049    147 69054.097    69085.089    69840.150
931  MTMAM+R4      36650.282    127 73554.563    73577.394    74233.670
940  MTMAM+I+R4    36621.790    128 73499.580    73522.787    74184.034
953  MTMAM+F+R4    35251.342    146 70794.684    70825.235    71575.390
962  MTMAM+F+I+R4  35233.843    147 70761.686    70792.677    71547.739
975  FLAVI+R4      35286.928    127 70827.855    70850.687    71506.962
984  FLAVI+I+R4    35272.924    128 70801.848    70825.055    71486.302
997  FLAVI+F+R4    35215.849    146 70723.697    70754.248    71504.403
1006  FLAVI+F+I+R4  35204.686    147 70703.373    70734.364    71489.426
1019  HIVB+R4       34930.680    127 70115.360    70138.192    70794.467
1028  HIVB+I+R4     34922.625    128 70101.251    70124.458    70785.705
1041  HIVB+F+R4     34826.624    146 69945.248    69975.799    70725.954
1050  HIVB+F+I+R4   34818.670    147 69931.340    69962.331    70717.393
1063  HIVW+R4       36390.550    127 73035.101    73057.932    73714.208
1072  HIVW+I+R4     36384.185    128 73024.371    73047.578    73708.825
1085  HIVW+F+R4     36020.913    146 72333.826    72364.377    73114.532
1094  HIVW+F+I+R4   36013.197    147 72320.394    72351.386    73106.448
1107  FLU+R4        34642.330    127 69538.660    69561.492    70217.767
1116  FLU+I+R4      34636.812    128 69529.623    69552.831    70214.078
1129  FLU+F+R4      34604.121    146 69500.242    69530.793    70280.948
1138  FLU+F+I+R4    34596.686    147 69487.371    69518.363    70273.424
1151  RTREV+R4      34193.083    127 68640.166    68662.997    69319.273
1160  RTREV+I+R4    34188.929    128 68633.859    68657.066    69318.313
1173  RTREV+F+R4    34005.370    146 68302.740    68333.291    69083.446
1182  RTREV+F+I+R4  34001.138    147 68296.276    68327.268    69082.329
1195  CPREV+R4      34455.002    127 69164.004    69186.835    69843.111
1204  CPREV+I+R4    34453.704    128 69163.408    69186.615    69847.862
1217  CPREV+F+R4    34392.294    146 69076.588    69107.139    69857.294
1226  CPREV+F+I+R4  34390.865    147 69075.730    69106.722    69861.783
